date,vader_score
2020-01-01,0.08697796610169492
2020-01-02,0.08274941634241245
2020-01-03,0.007558935361216732
2020-01-04,-0.014918461538461537
2020-01-05,0.013047826086956524
2020-01-06,0.028038211382113824
2020-01-07,-0.00795583333333333
2020-01-08,0.03198684210526316
2020-01-09,0.07310698529411765
2020-01-10,0.05781284046692607
2020-01-11,0.05720727272727273
2020-01-12,0.04950776699029126
2020-01-13,0.05975515695067265
2020-01-14,0.05330697674418605
2020-01-15,0.030075634517766497
2020-01-16,0.09151116279069768
2020-01-17,0.07329952380952381
2020-01-18,0.214704
2020-01-19,0.06894583333333333
2020-01-20,0.057182716049382715
2020-01-21,0.04970361445783132
2020-01-22,-0.011298712446351928
2020-01-23,0.06507106382978724
2020-01-24,0.015000877192982457
2020-01-25,-0.027859999999999996
2020-01-26,0.08433013698630137
2020-01-27,0.013401923076923079
2020-01-28,0.027111594202898555
2020-01-29,0.025353711790393016
2020-01-30,0.0873007722007722
2020-01-31,0.04776206896551724
2020-02-01,-0.0010340206185567033
2020-02-02,0.050527083333333334
2020-02-03,0.01854318181818182
2020-02-04,0.06784106280193238
2020-02-05,0.06178798283261803
2020-02-06,0.05867989949748744
2020-02-07,0.029867901234567906
2020-02-08,0.04419777777777778
2020-02-09,0.008829508196721311
2020-02-10,0.021861748633879782
2020-02-11,0.05689917012448133
2020-02-12,0.005133678756476684
2020-02-13,0.060849753694581274
2020-02-14,0.034118055555555554
2020-02-15,0.056697222222222225
2020-02-16,0.06009298245614036
2020-02-17,-0.013917021276595741
2020-02-18,0.019923124999999996
2020-02-19,0.10982409638554216
2020-02-20,0.031085042735042732
2020-02-21,0.035457788944723616
2020-02-22,0.08963571428571429
2020-02-23,0.07453258426966292
2020-02-24,0.024550000000000002
2020-02-25,0.01360196629213483
2020-02-26,0.02352890625
2020-02-27,-0.007008117443868739
2020-02-28,0.019806724137931032
2020-03-01,0.048662576687116564
2020-03-02,0.044829682997118155
2020-03-03,0.015354404145077721
2020-03-04,0.0443635761589404
2020-03-05,0.013750898203592815
2020-03-06,0.012581049562682217
2020-03-07,0.07700270270270271
2020-03-08,0.049521511627906974
2020-03-09,-0.01187542372881356
2020-03-10,0.04196892950391645
2020-03-11,0.015658265582655827
2020-03-12,0.01585813953488372
2020-03-13,0.06883031674208145
2020-03-14,-0.018912857142857144
2020-03-15,0.011924778761061948
2020-03-16,0.006000988142292491
2020-03-17,0.04017306666666667
2020-03-18,-0.012967355371900828
2020-03-19,0.02528053097345133
2020-03-20,0.05173672316384181
2020-03-21,-0.017529565217391303
2020-03-22,0.0411285
2020-03-23,0.03333842105263158
2020-03-24,0.07039023746701847
2020-03-25,0.08191394736842106
2020-03-26,0.048555769230769236
2020-03-27,0.06566798780487805
2020-03-28,-0.010802419354838708
2020-03-29,0.04658125
2020-03-30,0.019506934306569343
2020-04-01,0.0007063636363636377
2020-04-02,0.01777623456790124
2020-04-03,0.01282529182879377
2020-04-04,0.03058105263157895
2020-04-05,0.08612571428571429
2020-04-06,0.07976614420062696
2020-04-07,0.07718473282442748
2020-04-08,0.05715280235988201
2020-04-09,0.06101460957178841
2020-04-10,0.1025590909090909
2020-04-11,0.0964757281553398
2020-04-12,-0.028800763358778625
2020-04-13,0.026524609375
2020-04-14,0.08386435045317221
2020-04-15,0.05838016759776536
2020-04-16,0.08521201298701299
2020-04-17,0.09684069767441861
2020-04-18,0.15561806451612903
2020-04-19,0.07940536912751678
2020-04-20,0.019360550458715597
2020-04-21,-0.0404048
2020-04-22,0.05791724137931034
2020-04-23,0.022798648648648653
2020-04-24,0.03685172413793104
2020-04-25,0.11214435483870969
2020-04-26,0.08519055118110236
2020-04-27,0.08707507331378299
2020-04-28,0.07404029126213592
2020-04-29,0.06805446096654276
2020-05-01,0.04420775193798449
2020-05-02,0.17500609756097563
2020-05-03,0.01151677419354839
2020-05-04,0.08499740634005763
2020-05-05,0.03526527415143603
2020-05-06,0.04500771349862259
2020-05-07,0.10616269430051814
2020-05-08,0.05534671916010499
2020-05-09,0.0409740157480315
2020-05-10,0.11949943181818182
2020-05-11,0.053670833333333334
2020-05-12,0.04903341836734694
2020-05-13,0.018656326530612246
2020-05-14,0.023854418604651165
2020-05-15,0.06507428571428571
2020-05-16,0.12866444444444444
2020-05-17,0.020517431192660546
2020-05-18,0.11763121951219511
2020-05-19,0.08686604938271605
2020-05-20,0.06558490028490029
2020-05-21,0.06110316901408451
2020-05-22,0.07899864864864865
2020-05-23,0.10780196078431373
2020-05-24,0.05716530612244898
2020-05-25,0.03206707317073171
2020-05-26,0.1095103151862464
2020-05-27,0.08838050000000001
2020-05-28,0.06788242574257426
2020-05-29,0.07852184300341297
2020-05-30,0.11048235294117646
2020-06-01,0.04605292207792208
2020-06-02,0.0915530909090909
2020-06-03,0.08511978891820579
2020-06-04,0.08131141975308642
2020-06-05,0.05081910569105691
2020-06-06,0.10492866242038217
2020-06-07,0.11852131147540984
2020-06-08,0.06714375
2020-06-09,0.10130095693779904
2020-06-10,0.09958173076923077
2020-06-11,0.0380302034428795
2020-06-12,0.05048697571743929
2020-06-13,0.09952054794520548
2020-06-14,0.014857894736842108
2020-06-15,0.046983972911963885
2020-06-16,0.055799740932642485
2020-06-17,0.04976634920634921
2020-06-18,0.10259026845637584
2020-06-19,0.06353481012658227
2020-06-20,0.12614485981308413
2020-06-21,0.13153529411764706
2020-06-22,0.01758575851393189
2020-06-23,0.06484772117962466
2020-06-24,0.036025125628140704
2020-06-25,0.056773544973544976
2020-06-26,0.054158823529411766
