date,finbert_score
2020-01-01,0.2949180531034483
2020-01-02,0.23139447979577465
2020-01-03,0.2881129462487805
2020-01-04,0.11819056134615383
2020-01-05,-0.012383578441176468
2020-01-06,0.19954041520994473
2020-01-07,0.30862909634632035
2020-01-08,0.23892250911785717
2020-01-09,0.30864139001260504
2020-01-10,0.30014018108154505
2020-01-11,-0.003257908148148147
2020-01-12,-0.021725353029411767
2020-01-13,0.2662036678930041
2020-01-14,0.22603034600390626
2020-01-15,0.16870880284521386
2020-01-16,0.22357574344353182
2020-01-17,0.23180267066334165
2020-01-18,0.01104340890625
2020-01-19,0.2033746655
2020-01-20,0.2126201745836431
2020-01-21,0.09954978516771489
2020-01-22,0.21075755629827586
2020-01-23,0.17484811693993507
2020-01-24,0.15948454859827216
2020-01-25,-0.03952038471875
2020-01-26,0.05115157906818182
2020-01-27,0.14385741715642458
2020-01-28,0.15685961691992187
2020-01-29,0.19522064131686045
2020-01-30,0.18665737701774193
2020-01-31,0.09220226254890511
2020-02-01,-0.29531154758620687
2020-02-02,-0.28347758286111113
2020-02-03,0.13427572411260505
2020-02-04,0.17533825965081723
2020-02-05,0.22012728096850395
2020-02-06,0.16361607768553457
2020-02-07,0.11960906941368078
2020-02-08,0.07897700585714286
2020-02-09,0.07210874513533834
2020-02-10,0.15657814978071333
2020-02-11,0.14812135646041413
2020-02-12,0.22298122582982458
2020-02-13,0.1404087999489217
2020-02-14,0.1191275523085554
2020-02-15,-0.04656278405714287
2020-02-16,-0.010113301279999997
2020-02-17,0.07460483993001346
2020-02-18,0.1537214942178771
2020-02-19,0.18886138767701863
2020-02-20,0.1880044854259598
2020-02-21,0.2408111827189655
2020-02-22,0.16229115203448277
2020-02-23,-0.018823875499999997
2020-02-24,0.15270033621418827
2020-02-25,0.14760494363869134
2020-02-26,0.07449782787982195
2020-02-27,0.06618844858405797
2020-02-28,-0.05560131162540717
2020-02-29,-0.17259392258951964
2020-03-01,0.03516095853696498
2020-03-02,0.1298725724775862
2020-03-03,0.15869598811636362
2020-03-04,0.14720132914128037
2020-03-05,0.009409592776447108
2020-03-06,0.06063583579381443
2020-03-07,-0.4689319181477272
2020-03-08,-0.12470303340000001
2020-03-09,0.07968632671549296
2020-03-10,0.12524568594188862
2020-03-11,0.14688381
2020-03-12,0.06231225593921568
2020-03-13,-0.005645559088122605
2020-03-14,-0.5582803679230769
2020-03-15,-0.26584264199999996
2020-03-16,0.061056843402193785
2020-03-17,0.08577169187888707
2020-03-18,0.16856428328346457
2020-03-19,0.10442926817586208
2020-03-20,0.15661583965064696
2020-03-21,-0.48911222594736836
2020-03-22,-0.15116727877192984
2020-03-23,0.09289332966157206
2020-03-24,0.15982956932563508
2020-03-25,0.2343815898366013
2020-03-26,0.14080679333333335
2020-03-27,0.09105348834558824
2020-03-28,-0.3276648651037736
2020-03-29,-0.05931725163013699
2020-03-30,0.16714320906292135
2020-03-31,0.19716160043429845
2020-04-01,0.13310065674599544
2020-04-02,0.11308527613948498
2020-04-03,0.11586670380346821
2020-04-04,-0.33052311090000003
2020-04-05,-0.2629853963
2020-04-06,0.10754424671428572
2020-04-07,0.16673835450282484
2020-04-08,0.08460510818426104
2020-04-09,0.1668380741542751
2020-04-10,0.05041322251489362
2020-04-11,0.018628279333333338
2020-04-12,0.019926091019607843
2020-04-13,0.13042852231818183
2020-04-14,0.15155897631766918
2020-04-15,0.05001472917903226
2020-04-16,-0.015338291531986533
2020-04-17,0.1389662182370518
2020-04-18,0.03530751303030304
2020-04-19,-0.20561044473333334
2020-04-20,0.0892032864989605
2020-04-21,0.04491778363765182
2020-04-22,0.08740697858912386
2020-04-23,0.0956413979939577
2020-04-24,0.08480874011030741
2020-04-25,0.07489992472972973
2020-04-26,0.04346805189583333
2020-04-27,0.09654479168091602
2020-04-28,0.036846718798709675
2020-04-29,0.14763961612460064
2020-04-30,0.0966373392912154
2020-05-01,0.1421939421518438
2020-05-02,-0.06822224002857144
2020-05-03,0.006347303333333334
2020-05-04,0.07303075285537919
2020-05-05,0.0826178498079561
2020-05-06,0.14980042259166665
2020-05-07,0.016272970800464037
2020-05-08,0.10477857288491446
2020-05-09,-0.14394327302941176
2020-05-10,-0.04863420125925926
2020-05-11,0.04069400003209876
2020-05-12,0.040393078005802704
2020-05-13,0.00898725564864865
2020-05-14,0.011178176280898877
2020-05-15,0.015571251352048558
2020-05-16,-0.0655245904716981
2020-05-17,0.06864348935185184
2020-05-18,0.17946988944201311
2020-05-19,0.05933942255417956
2020-05-20,0.1767856462588556
2020-05-21,0.041537547440894565
2020-05-22,0.03283354665677966
2020-05-23,0.15119186878666668
2020-05-24,-0.005312502391304348
2020-05-25,0.08075962771830987
2020-05-26,0.047108258695205484
2020-05-27,0.001665253876221498
2020-05-28,0.1485287643491228
2020-05-29,0.07642272515449439
2020-05-30,0.08368638270370371
2020-05-31,0.028354331610169495
2020-06-01,0.005139022498113208
2020-06-02,0.0204935800647482
2020-06-03,0.09352075504428044
2020-06-04,0.060160511675977656
2020-06-05,-0.06454918592063492
2020-06-06,-0.314455688
2020-06-07,0.0
2020-06-08,-0.050786446913793096
2020-06-09,-0.31977121374468087
2020-06-10,-0.1128341195522388
2020-06-11,-0.14030500387671233
2020-06-12,-0.250965919375
2020-06-13,-0.08969418200000001
2020-06-14,-0.999993086
2020-06-15,-0.08928158544444445
2020-06-16,-0.0037876423773584925
2020-06-17,-0.020573928042553192
2020-06-18,-0.17041007677083334
2020-06-19,-0.19874935148888892
2020-06-20,0.0
2020-06-21,0.259026445375
