date,vader_score
2020-01-01,0.16928793103448275
2020-01-02,0.14430915492957747
2020-01-03,0.10703853658536586
2020-01-04,0.012900000000000002
2020-01-05,-0.014405882352941178
2020-01-06,0.08640055248618785
2020-01-07,0.08587965367965368
2020-01-08,0.1495167857142857
2020-01-09,0.16112605042016806
2020-01-10,0.1059824034334764
2020-01-11,-0.05878518518518518
2020-01-12,0.07334117647058823
2020-01-13,0.13646748971193415
2020-01-14,0.122979296875
2020-01-15,0.15731649694501018
2020-01-16,0.17683490759753592
2020-01-17,0.21589850374064837
2020-01-18,0.0020187499999999997
2020-01-19,0.14756153846153847
2020-01-20,0.11985390334572492
2020-01-21,0.12476037735849056
2020-01-22,0.14792241379310345
2020-01-23,0.1279819805194805
2020-01-24,0.16025226781857452
2020-01-25,0.06305625
2020-01-26,0.042184090909090914
2020-01-27,0.13312849162011173
2020-01-28,0.10533203125
2020-01-29,0.16130377906976745
2020-01-30,0.14154241935483872
2020-01-31,0.14942934306569342
2020-02-01,0.09167931034482758
2020-02-02,0.01941111111111111
2020-02-03,0.1389146218487395
2020-02-04,0.16300594353640416
2020-02-05,0.14132677165354332
2020-02-06,0.17796069182389937
2020-02-07,0.1433501628664495
2020-02-08,0.1544107142857143
2020-02-09,0.19030902255639098
2020-02-10,0.1726688243064729
2020-02-11,0.2006828258221681
2020-02-12,0.17097666666666667
2020-02-13,0.1936738933030647
2020-02-14,0.1642671809256662
2020-02-15,0.020068571428571432
2020-02-16,0.10786
2020-02-17,0.19215827725437415
2020-02-18,0.16096759776536312
2020-02-19,0.15984208074534162
2020-02-20,0.17112778793418645
2020-02-21,0.19636931034482757
2020-02-22,0.2407632183908046
2020-02-23,0.1419375
2020-02-24,0.14453601637107777
2020-02-25,0.18459530583214795
2020-02-26,0.15992091988130563
2020-02-27,0.13788420289855072
2020-02-28,0.090985667752443
2020-02-29,0.20239825327510919
2020-03-01,0.250379766536965
2020-03-02,0.12353051724137931
2020-03-03,0.15199600000000002
2020-03-04,0.13143664459161147
2020-03-05,0.10465608782435129
2020-03-06,0.0971282474226804
2020-03-07,-0.011563636363636366
2020-03-08,-0.012919999999999997
2020-03-09,0.12335774647887325
2020-03-10,0.08485811138014528
2020-03-11,0.1344655241935484
2020-03-12,0.12681450980392156
2020-03-13,0.051356130268199233
2020-03-14,-0.024198717948717946
2020-03-15,-0.002771999999999998
2020-03-16,0.11327038391224863
2020-03-17,0.1559001636661211
2020-03-18,0.13789669291338583
2020-03-19,0.09368258620689655
2020-03-20,0.1022822550831793
2020-03-21,-0.00813263157894737
2020-03-22,0.01743684210526316
2020-03-23,0.12024650655021835
2020-03-24,0.08099214780600462
2020-03-25,0.11838322440087146
2020-03-26,0.08542636165577343
2020-03-27,0.12959319852941176
2020-03-28,0.10440188679245284
2020-03-29,0.14497260273972604
2020-03-30,0.12622786516853932
2020-03-31,0.12331314031180401
2020-04-01,0.09426109839816935
2020-04-02,0.05981609442060086
2020-04-03,0.10372504816955684
2020-04-04,-0.1265725
2020-04-05,-0.17800999999999997
2020-04-06,0.13021009852216747
2020-04-07,0.11785706214689265
2020-04-08,0.10755086372360845
2020-04-09,0.10640985130111524
2020-04-10,0.13442085106382978
2020-04-11,0.01433571428571429
2020-04-12,0.05764509803921569
2020-04-13,0.10729235537190082
2020-04-14,0.11725281954887219
2020-04-15,0.09144193548387097
2020-04-16,0.12591700336700337
2020-04-17,0.13232908366533863
2020-04-18,0.014854545454545448
2020-04-19,-0.00048222222222221847
2020-04-20,0.11248170478170479
2020-04-21,0.08650404858299596
2020-04-22,0.08612839879154079
2020-04-23,0.11519924471299094
2020-04-24,0.08273580470162749
2020-04-25,-0.0184972972972973
2020-04-26,0.035827083333333336
2020-04-27,0.10905725190839695
2020-04-28,0.07416567741935484
2020-04-29,0.13663849840255593
2020-04-30,0.10046245487364622
2020-05-01,0.10793687635574836
2020-05-02,0.011814285714285722
2020-05-03,0.1214156862745098
2020-05-04,0.1235167548500882
2020-05-05,0.10356502057613169
2020-05-06,0.13453500000000002
2020-05-07,0.13619489559164732
2020-05-08,0.11130171073094869
2020-05-09,0.03118823529411765
2020-05-10,0.06415925925925926
2020-05-11,0.13312049382716049
2020-05-12,0.15861663442940038
2020-05-13,0.1416318532818533
2020-05-14,0.1375316479400749
2020-05-15,0.14416251896813354
2020-05-16,0.03742075471698113
2020-05-17,0.07193333333333334
2020-05-18,0.12998993435448578
2020-05-19,0.11765882352941176
2020-05-20,0.11897929155313351
2020-05-21,0.11954313099041534
2020-05-22,0.09170169491525423
2020-05-23,0.04292666666666667
2020-05-24,0.025699999999999997
2020-05-25,0.06717183098591549
2020-05-26,0.09304486301369863
2020-05-27,0.09435602605863191
2020-05-28,0.07764859649122807
2020-05-29,0.14312528089887638
2020-05-30,0.15387592592592594
2020-05-31,0.030152542372881355
2020-06-01,0.08752075471698112
2020-06-02,0.08665791366906475
2020-06-03,0.1070630996309963
2020-06-04,0.11438100558659217
2020-06-05,-0.006471428571428576
2020-06-06,-0.3748375
2020-06-07,0.12865000000000001
2020-06-08,-0.06435344827586206
2020-06-09,-0.15997021276595744
2020-06-10,-0.08264776119402985
2020-06-11,-0.019189041095890414
2020-06-12,-0.04337916666666666
2020-06-13,0.6828
2020-06-14,-0.2152
2020-06-15,0.01663809523809524
2020-06-16,0.034973584905660375
2020-06-17,-0.017068085106382976
2020-06-18,0.0199125
2020-06-19,-0.02106888888888889
2020-06-20,-0.11315
2020-06-21,0.050312499999999996
2020-06-22,0.0219672131147541
2020-06-23,-0.04294655172413793
