date,finbert
2020-01-01,-0.029071017619102232
2020-01-02,0.09749127014137891
2020-01-03,0.042458972323530075
2020-01-04,-0.00643818561847393
2020-01-05,-0.014859011639719423
2020-01-06,0.09000706139618789
2020-01-07,0.005260917047659557
2020-01-08,0.08183312316260269
2020-01-09,0.04146876273786321
2020-01-10,0.0594168786640761
2020-01-11,0.07534393722360784
2020-01-12,-0.0240439975145951
2020-01-13,0.10242671041745241
2020-01-14,0.14198458541271297
2020-01-15,0.08676027525499992
2020-01-16,0.07163576164910959
2020-01-17,0.036009567124503
2020-01-18,0.18900076508522035
2020-01-19,0.14715256169438362
2020-01-20,0.006994566063822054
2020-01-21,0.08723038219543824
2020-01-22,0.045409824203523956
2020-01-23,0.06528261468765584
2020-01-24,0.0753630378790069
2020-01-25,-0.05656492445203993
2020-01-26,-0.02760600063898792
2020-01-27,-0.017580752877088695
2020-01-28,0.06671282433081364
2020-01-29,0.07657598590226153
2020-01-30,0.0750407539739572
2020-01-31,0.013588789675303014
2020-02-01,-0.10347551230302791
2020-02-02,-0.006752605860431989
2020-02-03,0.010277603498914028
2020-02-04,0.09202853277109671
2020-02-05,0.11068957890563769
2020-02-06,0.08647472220449591
2020-02-07,0.054965068160751716
2020-02-08,-0.021563117371665108
2020-02-09,-0.060591900934938527
2020-02-10,0.05642392140268628
2020-02-11,0.04718584737342423
2020-02-12,0.05638254646192561
2020-02-13,0.12904159365029172
2020-02-14,0.07918937669859992
2020-02-15,0.01927152938312954
2020-02-16,0.05514826690941526
2020-02-17,-0.04218855183175269
2020-02-18,0.05238926894962788
2020-02-19,0.07222792075341006
2020-02-20,0.018263803970100533
2020-02-21,0.0036914866773327384
2020-02-22,-0.10907797302518572
2020-02-23,0.028597519638833037
2020-02-24,-0.010208076238632199
2020-02-25,-0.030771413545929983
2020-02-26,0.011283071556439005
2020-02-27,-0.050878913909042436
2020-02-28,-0.03524930050660824
2020-03-01,-0.00018997389846052995
2020-03-02,0.05821881187752276
2020-03-03,-0.024768744494013218
2020-03-04,0.055819370691349963
2020-03-05,-0.0352169623275003
2020-03-06,0.0026969569069998627
2020-03-07,-0.03402515977352589
2020-03-08,-0.0572663240654524
2020-03-09,-0.07721483943152563
2020-03-10,0.03742339670191234
2020-03-11,-0.068883600596813
2020-03-12,-0.05867153503174006
2020-03-13,0.056690541058104504
2020-03-14,-0.04673950288976942
2020-03-15,-0.03200340561107197
2020-03-16,-0.09004565684691719
2020-03-17,-0.00817184400558472
2020-03-18,-0.027619054248510314
2020-03-19,0.01792562693621205
2020-03-20,0.010245980347617197
2020-03-21,-0.05767616862836092
2020-03-22,-0.09312844365835189
2020-03-23,-0.029574027186945864
2020-03-24,0.09926941267418672
2020-03-25,0.05054675034786525
2020-03-26,0.050688679759892136
2020-03-27,0.032612517839524804
2020-03-28,-0.02971283370448697
2020-03-29,-0.013842914667394427
2020-03-30,0.05186178257865627
2020-04-01,-0.04544446630911394
2020-04-02,0.04008129193091098
2020-04-03,-0.02809821724427813
2020-04-04,-0.0024769437940497145
2020-04-05,0.07199862939970834
2020-04-06,0.11129946581622276
2020-04-07,0.08385920327431676
2020-04-08,0.02237753425024252
2020-04-09,0.00952058610147433
2020-04-10,0.013595448976213282
2020-04-11,0.09668961369875566
2020-04-12,-0.005686408235826564
2020-04-13,-0.03559362981468439
2020-04-14,0.047450730987906094
2020-04-15,0.013118382938747302
2020-04-16,0.0174024279241438
2020-04-17,0.09249004158516262
2020-04-18,0.11105350486693844
2020-04-19,0.03024545211920002
2020-04-20,-0.035875345771101276
2020-04-21,-0.050033108234405516
2020-04-22,0.018246910181538817
2020-04-23,0.001462054413718147
2020-04-24,0.03574855265946223
2020-04-25,-0.04167070023475155
2020-04-26,0.11006731921293604
2020-04-27,0.06976290846849817
2020-04-28,0.06857475001835128
2020-04-29,0.06560666609874002
2020-05-01,-0.007551051772534077
2020-05-02,-0.005637050038430748
2020-05-03,0.011337624826738906
2020-05-04,0.04056936974827769
2020-05-05,0.04376474948838236
2020-05-06,0.05255006249614327
2020-05-07,0.032131427155875164
2020-05-08,0.06946036728035433
2020-05-09,0.024337483203317238
2020-05-10,0.10600750283761458
2020-05-11,-0.0023117638414814354
2020-05-12,-0.01893073411620393
2020-05-13,-0.011669953988522901
2020-05-14,-0.011128764097080673
2020-05-15,-0.006431144854379076
2020-05-16,-0.025183662441041733
2020-05-17,0.026585038102001225
2020-05-18,0.11337906849093554
2020-05-19,0.046185637145866584
2020-05-20,0.06535401940345764
2020-05-21,-0.0020286713687466896
2020-05-22,0.01650223427930394
2020-05-23,0.025470463668598852
2020-05-24,0.02598646465612917
2020-05-25,0.017867174453851654
2020-05-26,0.06030455487846987
2020-05-27,0.05900519035756588
2020-05-28,0.03739708175163457
2020-05-29,0.05762066247113329
2020-05-30,0.002922330709064703
2020-06-01,0.06745264234093877
2020-06-02,0.1015665247223594
2020-06-03,0.07597481874174053
2020-06-04,0.07862984600626392
2020-06-05,0.06447794027929384
2020-06-06,0.0820090839057971
2020-06-07,0.04841149439577196
2020-06-08,0.08706596671115785
2020-06-09,0.08768095988691138
2020-06-10,0.030528115251889594
2020-06-11,-0.020704901554215123
2020-06-12,0.029496847530600778
2020-06-13,-0.03104754057649064
2020-06-14,-0.009132375842646544
2020-06-15,0.03858116840939489
2020-06-16,0.04152341580761529
2020-06-17,0.07417695333087256
2020-06-18,0.03278897732696277
2020-06-19,0.0532050745773919
2020-06-20,0.015082378810811266
2020-06-21,0.051434762838507904
2020-06-22,0.022654896365599735
